claim,source,word_count,has_numbers,has_exclamation,has_question,credibility_keyword_count,misinfo_keyword_count,label,label_text
Studies show that Blood sugar monitoring is essential for managing diabetes.,NIH,11,0,0,0,0,0,0,credible
Studies show that Genetic factors can increase predisposition to certain diseases.,NIH,11,0,0,0,0,0,0,credible
Doctors don't want you to know that Vitamin C injections provide better protection than any vaccine.,TikTok video,16,0,0,0,1,0,1,misinformation
Clinical trials show that Radiation therapy uses high-energy beams to destroy cancer cells.,BMJ,13,0,0,0,2,0,0,credible
Research confirms that Sun exposure and UV radiation increase the risk of skin cancer.,WebMD,14,0,0,0,1,0,0,credible
Health experts state that COVID-19 vaccines have been tested in large clinical trials involving tens of thousands of participants.,WHO,19,1,0,0,3,0,0,credible
Doctors don't want you to know that 5G towers caused the COVID-19 pandemic by weakening immune systems.,Instagram reel,17,1,0,0,1,0,1,misinformation
Shocking truth: Herbal teas remove the need for diabetes medication completely.,TikTok video,11,0,0,0,0,2,1,misinformation
Scientists suppressed this: Eating raw garlic every day cures hypertension completely without medication.,Twitter post,13,0,0,0,0,2,1,misinformation
BREAKING: Vaccines have never been proven to be safe by any scientific study.,Blog post,13,0,0,0,2,0,1,misinformation
You cannot get HIV from sharing needles if they look clean.,WhatsApp message,11,0,0,0,0,0,1,misinformation
"Studies show that A balanced diet includes fruits, vegetables, whole grains, lean proteins, and healthy fats.",WebMD,16,0,0,0,0,0,0,credible
Share before deleted: Coconut oil reverses Alzheimer's disease within weeks.,Twitter post,10,0,0,0,0,0,1,misinformation
Share before deleted: Insulin therapy causes obesity and makes diabetes worse in the long run.,Telegram channel,15,0,0,0,0,0,1,misinformation
Shocking truth: You can lose 10 kg in one week by following this special detox plan.,Instagram reel,16,1,0,0,0,3,1,misinformation
Clinical trials show that COVID-19 booster doses help maintain protection as immunity wanes over time.,PubMed,15,1,0,0,2,0,0,credible
Clinical trials show that Walking is a low-impact exercise suitable for most age groups.,NHS,14,0,0,0,2,0,0,credible
Secret cure: The COVID-19 mRNA vaccine permanently alters your DNA.,Telegram channel,10,1,0,0,0,2,1,misinformation
Secret cure: Eating certain seeds kills cancer cells more effectively than chemotherapy.,Telegram channel,12,0,0,0,0,2,1,misinformation
"Secret cure: A gluten-free diet improves health for everyone, not just celiac patients.",Telegram channel,13,0,0,0,0,2,1,misinformation
Studies show that Mammograms are used to screen for breast cancer in women over 40.,NIH,15,1,0,0,0,0,0,credible
"According to doctors, Malaria is caused by a parasite transmitted through infected mosquito bites.",Mayo Clinic,14,0,0,0,1,0,0,credible
Scientists suppressed this: Vitamin C injections provide better protection than any vaccine.,Email chain,12,0,0,0,0,1,1,misinformation
"According to doctors, Colorectal cancer screening via colonoscopy is recommended starting at age 45.",Mayo Clinic,14,1,0,0,1,0,0,credible
HbA1c tests measure average blood sugar levels over the past 2-3 months.,WHO,12,1,0,0,0,0,0,credible
Vitamin C injections provide better protection than any vaccine.,TikTok video,9,0,0,0,0,0,1,misinformation
Yellow fever vaccination is required for travel to certain countries.,NHS,10,0,0,0,0,0,0,credible
BREAKING: Children who are not vaccinated are healthier than vaccinated children.,Anonymous forum,11,0,0,0,0,0,1,misinformation
BREAKING: Antidepressants are addictive and make mental health permanently worse.,Facebook post,10,0,0,0,0,0,1,misinformation
The human body heals itself from all diseases without any medical intervention.,YouTube video,12,0,0,0,0,0,1,misinformation
Share before deleted: Baking soda cures cancer by making the body alkaline.,Telegram channel,12,0,0,0,0,1,1,misinformation
"Preventive healthcare includes vaccinations, screenings, and lifestyle modifications.",NIH,8,0,0,0,0,0,0,credible
Herbal teas remove the need for diabetes medication completely.,Email chain,9,0,0,0,0,0,1,misinformation
"According to doctors, Early intervention in mental health conditions leads to better outcomes.",Lancet,13,0,0,0,1,0,0,credible
"According to doctors, Alcohol consumption above recommended limits increases health risks.",BMJ,11,0,0,0,1,0,0,credible
Health experts state that Hand washing with soap for 20 seconds reduces transmission of many infections.,CDC,16,1,0,0,1,0,0,credible
Scientists suppressed this: Diabetics should avoid all carbohydrates entirely including fruit and vegetables.,Facebook post,13,0,0,0,0,1,1,misinformation
Shocking truth: Statins cause more heart attacks than they prevent.,Email chain,10,0,0,0,0,2,1,misinformation
Shocking truth: Running causes arthritis and damages your knee joints over time.,Twitter post,12,0,0,0,0,2,1,misinformation
BREAKING: The moon cycle directly controls human hormones and disease patterns.,WhatsApp message,11,0,0,0,0,0,1,misinformation
Studies show that Annual flu vaccination is recommended for people over 65 and those with chronic conditions.,NHS,17,1,0,0,0,0,0,credible
Share before deleted: People with diabetes should fast for 3 days to reset their pancreas.,YouTube video,15,1,0,0,0,0,1,misinformation
BREAKING: Depression is just sadness and can be cured by thinking positively.,YouTube video,12,0,0,0,0,1,1,misinformation
"Health experts state that Obesity increases risk of diabetes, heart disease, and certain cancers.",WebMD,14,0,0,0,1,0,0,credible
Share before deleted: Drinking red wine daily completely protects you from heart attacks.,TikTok video,13,0,0,0,0,0,1,misinformation
Medical evidence indicates that Vaccines do not contain live viruses in the case of inactivated or mRNA vaccines.,PubMed,18,0,0,0,1,0,0,credible
Secret cure: Earth grounding or walking barefoot cures autoimmune diseases.,Blog post,10,0,0,0,0,2,1,misinformation
"According to doctors, Tuberculosis is a bacterial infection that primarily affects the lungs.",WebMD,13,0,0,0,1,0,0,credible
Doctors don't want you to know that High cholesterol is a myth invented by pharmaceutical companies.,Telegram channel,16,0,0,0,1,0,1,misinformation
Health experts state that High-intensity interval training can improve cardiovascular fitness efficiently.,Lancet,12,0,0,0,1,0,0,credible
Studies show that COVID-19 booster doses help maintain protection as immunity wanes over time.,NEJM,14,1,0,0,0,0,0,credible
Talking about suicide plants the idea in people's heads and causes it.,Facebook post,12,0,0,0,0,0,1,misinformation
Health experts state that Tuberculosis is a bacterial infection that primarily affects the lungs.,NHS,14,0,0,0,1,0,0,credible
Research confirms that Genetic factors can increase predisposition to certain diseases.,NIH,11,0,0,0,1,0,0,credible
Share before deleted: Schizophrenia is caused by watching too much television.,Blog post,11,0,0,0,0,0,1,misinformation
Blood pressure should be measured regularly as hypertension often has no symptoms.,PubMed,12,0,0,0,0,0,0,credible
"Shocking truth: A gluten-free diet improves health for everyone, not just celiac patients.",Blog post,13,0,0,0,0,2,1,misinformation
Secret cure: Schizophrenia is caused by watching too much television.,Telegram channel,10,0,0,0,0,2,1,misinformation
"Research confirms that The MMR vaccine protects against measles, mumps, and rubella.",CDC,12,0,0,0,1,0,0,credible
Health experts state that CPR can help maintain circulation in a person experiencing cardiac arrest.,Lancet,15,0,0,0,1,0,0,credible
Scientists suppressed this: Vaccine manufacturers are legally immune from all consequences.,WhatsApp message,11,0,0,0,0,1,1,misinformation
Shocking truth: Spot reduction of fat is possible through targeted exercises.,Telegram channel,11,0,0,0,0,2,1,misinformation
Share before deleted: Drinking your own urine heals digestive diseases and boosts immunity.,Anonymous forum,13,0,0,0,0,0,1,misinformation
Secret cure: You can reverse obesity completely by drinking lemon water every morning.,Telegram channel,13,0,0,0,0,2,1,misinformation
Doctors don't want you to know that Eating raw garlic every day cures hypertension completely without medication.,Blog post,17,0,0,0,1,1,1,misinformation
Shocking truth: You need to exercise at least 3 hours every day to maintain good health.,Twitter post,16,1,0,0,0,2,1,misinformation
An EKG measures the electrical activity of the heart.,BMJ,9,0,0,0,0,0,0,credible
BREAKING: Hepatitis can be cured by a strict vegan diet alone.,Instagram reel,11,0,0,0,0,1,1,misinformation
Health experts state that Strength training helps maintain muscle mass as people age.,NIH,13,0,0,0,1,0,0,credible
Studies show that CPR can help maintain circulation in a person experiencing cardiac arrest.,WebMD,14,0,0,0,0,0,0,credible
Secret cure: You cannot get HIV from sharing needles if they look clean.,Telegram channel,13,0,0,0,0,2,1,misinformation
Health experts state that The hepatitis B vaccine is given to newborns to prevent chronic infection.,Lancet,16,0,0,0,1,0,0,credible
Scientists suppressed this: Antidepressants are addictive and make mental health permanently worse.,Blog post,12,0,0,0,0,1,1,misinformation
Shocking truth: Weight loss supplements approved by celebrities are clinically proven to work.,Anonymous forum,13,0,0,0,2,2,1,misinformation
"According to doctors, High-intensity interval training can improve cardiovascular fitness efficiently.",PubMed,11,0,0,0,1,0,0,credible
Secret cure: Antibiotics can cure the common cold and flu effectively.,Email chain,11,0,0,0,0,2,1,misinformation
"According to doctors, Strength training helps maintain muscle mass as people age.",WHO,12,0,0,0,1,0,0,credible
Research confirms that Antibiotic resistance is a global health crisis caused by overuse of antibiotics.,CDC,15,0,0,0,1,0,0,credible
Studies show that Stretching before and after exercise reduces injury risk.,NEJM,11,0,0,0,0,0,0,credible
"According to doctors, Obesity increases risk of diabetes, heart disease, and certain cancers.",CDC,13,0,0,0,1,0,0,credible
Depression is just sadness and can be cured by thinking positively.,YouTube video,11,0,0,0,0,1,1,misinformation
Health experts state that COVID-19 booster doses help maintain protection as immunity wanes over time.,Lancet,15,1,0,0,1,0,0,credible
"Research confirms that Preventive healthcare includes vaccinations, screenings, and lifestyle modifications.",BMJ,11,0,0,0,1,0,0,credible
Scientists suppressed this: All pharmaceutical drugs are poison and natural remedies are always safer.,Instagram reel,14,0,0,0,0,2,1,misinformation
"According to doctors, Suicide prevention involves recognizing warning signs and providing support.",PubMed,12,0,0,0,1,0,0,credible
"Shocking truth: Cancer cannot survive in an alkaline body, so eating alkaline foods cures it.",Instagram reel,15,0,0,0,0,3,1,misinformation
Scientists suppressed this: You can reverse obesity completely by drinking lemon water every morning.,Twitter post,14,0,0,0,0,1,1,misinformation
Secret cure: Sunscreen causes skin cancer due to its toxic chemical ingredients.,Twitter post,12,0,0,0,0,2,1,misinformation
Shocking truth: Mental health therapy is ineffective and a waste of money.,Instagram reel,12,0,0,0,0,2,1,misinformation
Shocking truth: Salt has no effect on blood pressure for most people.,TikTok video,12,0,0,0,0,2,1,misinformation
Share before deleted: Type 2 diabetes can always be completely reversed in 30 days with supplements.,TikTok video,16,1,0,0,0,0,1,misinformation
Secret cure: Doctors never tell you that all diseases can be cured with proper hydration alone.,Blog post,16,0,0,0,1,2,1,misinformation
BREAKING: Malaria is spread by eating contaminated food rather than mosquito bites.,Twitter post,12,0,0,0,0,0,1,misinformation
Share before deleted: Type 2 diabetes is only caused by consuming too much refined sugar.,Email chain,15,1,0,0,0,0,1,misinformation
Share before deleted: Statins cause more heart attacks than they prevent.,Instagram reel,11,0,0,0,0,0,1,misinformation
Medical evidence indicates that Blood sugar monitoring is essential for managing diabetes.,BMJ,12,0,0,0,1,0,0,credible
Share before deleted: Injecting bleach can provide the same immunity as a COVID-19 vaccine.,Facebook post,14,1,0,0,0,0,1,misinformation
Share before deleted: Eating too much sugar directly causes type 1 diabetes.,Instagram reel,12,1,0,0,0,0,1,misinformation
Secret cure: Eating only apricot seeds provides the best natural cure for cancer.,YouTube video,13,0,0,0,0,2,1,misinformation
BREAKING: Anxiety can always be cured without any medication through willpower alone.,Anonymous forum,12,0,0,0,0,1,1,misinformation
"According to doctors, Reducing saturated fat intake can lower LDL cholesterol levels.",NEJM,12,0,0,0,1,0,0,credible
Cancer is caused by repressed emotions and can be healed by emotional release.,Email chain,13,0,0,0,0,0,1,misinformation
Doctors don't want you to know that Drinking your own urine heals digestive diseases and boosts immunity.,TikTok video,17,0,0,0,1,0,1,misinformation
"According to doctors, Sexually transmitted infections can be prevented using barrier methods.",Mayo Clinic,12,0,0,0,1,0,0,credible
Secret cure: Mental health therapy is ineffective and a waste of money.,YouTube video,12,0,0,0,0,2,1,misinformation
Secret cure: Diabetics should avoid all carbohydrates entirely including fruit and vegetables.,WhatsApp message,12,0,0,0,0,2,1,misinformation
Clinical trials show that Alcohol consumption above recommended limits increases health risks.,BMJ,12,0,0,0,2,0,0,credible
A coffee enema cures stage 4 cancer more effectively than standard treatment.,Twitter post,12,1,0,0,0,1,1,misinformation
Studies show that Regular exercise is associated with lower rates of depression and anxiety.,NHS,14,0,0,0,0,0,0,credible
Secret cure: Regular health screenings cause more harm than they prevent.,Blog post,11,0,0,0,0,2,1,misinformation
Health experts state that Eating a variety of colorful vegetables provides different essential nutrients.,WHO,14,0,0,0,1,0,0,credible
BREAKING: Sleeping with your head pointing north causes brain damage.,YouTube video,10,0,0,0,0,0,1,misinformation
Stretching before and after exercise reduces injury risk.,NHS,8,0,0,0,0,0,0,credible
Research confirms that Hepatitis C can now be cured with direct-acting antiviral medications.,Mayo Clinic,13,0,0,0,1,1,0,credible
Health experts state that Fiber from whole grains and vegetables supports digestive health.,WebMD,13,0,0,0,1,0,0,credible
Doctors don't want you to know that The COVID-19 vaccine contains microchips to track people.,Instagram reel,15,1,0,0,1,0,1,misinformation
Shocking truth: Essential oils cure cancer better than radiation or surgery.,Anonymous forum,11,0,0,0,0,3,1,misinformation
"Scientists suppressed this: Cancer cannot survive in an alkaline body, so eating alkaline foods cures it.",Anonymous forum,16,0,0,0,0,2,1,misinformation
Health experts state that Processed foods high in sodium contribute to hypertension.,NEJM,12,0,0,0,1,0,0,credible
BREAKING: Blood pressure medication causes kidney failure in all long-term users.,TikTok video,11,0,0,0,0,0,1,misinformation
"According to doctors, Regular health checkups help detect problems early.",Lancet,10,0,0,0,1,0,0,credible
BREAKING: Eating certain seeds kills cancer cells more effectively than chemotherapy.,WhatsApp message,11,0,0,0,0,0,1,misinformation
Scientists suppressed this: Wearing tight bras causes breast cancer in all women.,Facebook post,12,0,0,0,0,1,1,misinformation
Eating certain seeds kills cancer cells more effectively than chemotherapy.,Telegram channel,10,0,0,0,0,0,1,misinformation
Shocking truth: Anxiety can always be cured without any medication through willpower alone.,Anonymous forum,13,0,0,0,0,3,1,misinformation
Health experts state that Early intervention in mental health conditions leads to better outcomes.,NHS,14,0,0,0,1,0,0,credible
Clinical trials show that Herd immunity requires a high percentage of the population to be vaccinated.,Mayo Clinic,16,0,0,0,2,0,0,credible
Malaria is spread by eating contaminated food rather than mosquito bites.,WhatsApp message,11,0,0,0,0,0,1,misinformation
Scientists suppressed this: Cancer is caused by repressed emotions and can be healed by emotional release.,Anonymous forum,16,0,0,0,0,1,1,misinformation
Share before deleted: ADHD is not a real medical condition and is invented by drug companies.,Twitter post,16,0,0,0,0,0,1,misinformation
Health experts state that Annual flu vaccination is recommended for people over 65 and those with chronic conditions.,NEJM,18,1,0,0,1,0,0,credible
Share before deleted: Exercising on an empty stomach burns three times more fat.,Email chain,13,0,0,0,0,0,1,misinformation
Clinical trials show that Hydration is important for kidney function and overall health.,BMJ,13,0,0,0,2,0,0,credible
Secret cure: Exercising on an empty stomach burns three times more fat.,Anonymous forum,12,0,0,0,0,2,1,misinformation
"According to doctors, Exercise improves mood by releasing endorphins.",NIH,9,0,0,0,1,0,0,credible
"According to doctors, Diabetes increases the risk of cardiovascular disease and kidney damage.",Mayo Clinic,13,0,0,0,1,0,0,credible
Share before deleted: The COVID-19 mRNA vaccine permanently alters your DNA.,Instagram reel,11,1,0,0,0,0,1,misinformation
Research confirms that Stretching before and after exercise reduces injury risk.,NIH,11,0,0,0,1,0,0,credible
Shocking truth: Drinking okra water overnight cures diabetes permanently.,Instagram reel,9,0,0,0,0,3,1,misinformation
Secret cure: Drinking okra water overnight cures diabetes permanently.,YouTube video,9,0,0,0,0,2,1,misinformation
Medical evidence indicates that Folate is essential during pregnancy to prevent neural tube defects.,CDC,14,0,0,0,1,0,0,credible
Health experts state that Environmental factors like air pollution contribute to respiratory disease.,NEJM,13,0,0,0,1,0,0,credible
Medical evidence indicates that Plant-based diets have been associated with lower rates of heart disease.,Lancet,15,0,0,0,1,0,0,credible
Research confirms that Excessive sugar consumption is linked to increased risk of type 2 diabetes.,BMJ,15,1,0,0,1,0,0,credible
All chronic diseases are caused by toxins from modern food that can be removed.,Email chain,14,0,0,0,0,0,1,misinformation
Clinical trials show that Immunotherapy helps the immune system recognize and fight cancer cells.,Lancet,14,0,0,0,2,0,0,credible
Shocking truth: Insulin therapy causes obesity and makes diabetes worse in the long run.,Facebook post,14,0,0,0,0,2,1,misinformation
"Vaccines cause autism in children, as proven by multiple studies.",TikTok video,10,0,0,0,1,0,1,misinformation
Share before deleted: Alkaline water cures cancer by changing your body's pH.,TikTok video,12,0,0,0,0,1,1,misinformation
Scientists suppressed this: People with diabetes should fast for 3 days to reset their pancreas.,Email chain,15,1,0,0,0,1,1,misinformation
"According to doctors, HIV is transmitted through blood, sexual contact, and from mother to child during birth.",PubMed,17,0,0,0,1,0,0,credible
"Doctors don't want you to know that A gluten-free diet improves health for everyone, not just celiac patients.",Blog post,18,0,0,0,1,0,1,misinformation
Bitter melon juice is more effective than metformin for controlling blood sugar.,Email chain,12,0,0,0,0,0,1,misinformation
Medical evidence indicates that The hepatitis B vaccine is given to newborns to prevent chronic infection.,NIH,16,0,0,0,1,0,0,credible
Doctors don't want you to know that HIV does not cause AIDS according to many scientists.,Twitter post,16,0,0,0,1,0,1,misinformation
Health experts state that Reducing saturated fat intake can lower LDL cholesterol levels.,WHO,13,0,0,0,1,0,0,credible
Clinical trials show that Antibiotic resistance is a global health crisis caused by overuse of antibiotics.,Lancet,16,0,0,0,2,0,0,credible
Medical evidence indicates that Type 1 diabetes is an autoimmune condition where the pancreas produces little insulin.,BMJ,17,1,0,0,1,0,0,credible
Clinical trials show that Social support is an important factor in mental health and recovery.,WHO,15,0,0,0,2,0,0,credible
Scientists suppressed this: Eating certain seeds kills cancer cells more effectively than chemotherapy.,Anonymous forum,13,0,0,0,0,1,1,misinformation
Vaccines have never been proven to be safe by any scientific study.,YouTube video,12,0,0,0,2,0,1,misinformation
Doctors don't want you to know that Hand sanitizers cause antibiotic resistance in viruses.,Telegram channel,14,0,0,0,1,0,1,misinformation
Doctors don't want you to know that Sweating during exercise means your body is releasing toxins.,Telegram channel,16,0,0,0,1,0,1,misinformation
BREAKING: Cannabis oil alone can fully cure all types of cancer.,Instagram reel,11,0,0,0,0,1,1,misinformation
Doctors don't want you to know that You can reverse obesity completely by drinking lemon water every morning.,WhatsApp message,18,0,0,0,1,0,1,misinformation
Scientists suppressed this: HIV does not cause AIDS according to many scientists.,YouTube video,12,0,0,0,0,1,1,misinformation
Clinical trials show that Adequate sleep of 7-9 hours per night is important for adults' health.,CDC,16,1,0,0,2,0,0,credible
Secret cure: Antidepressants are addictive and make mental health permanently worse.,Anonymous forum,11,0,0,0,0,2,1,misinformation
BREAKING: Mental illness is caused by spiritual weakness and can be cured by prayer alone.,YouTube video,15,0,0,0,0,1,1,misinformation
Children with autism are just spoiled and need better discipline.,Email chain,10,0,0,0,0,0,1,misinformation
"Clinical trials show that The MMR vaccine protects against measles, mumps, and rubella.",Lancet,13,0,0,0,2,0,0,credible
"According to doctors, Potassium-rich foods like bananas help regulate blood pressure.",NEJM,11,0,0,0,1,0,0,credible
"Clinical trials show that HIV is transmitted through blood, sexual contact, and from mother to child during birth.",WebMD,18,0,0,0,2,0,0,credible
Scientists suppressed this: Eating only apricot seeds provides the best natural cure for cancer.,Anonymous forum,14,0,0,0,0,2,1,misinformation
Clinical trials show that An EKG measures the electrical activity of the heart.,NHS,13,0,0,0,2,0,0,credible
BREAKING: You can cure type 2 diabetes permanently by eating only raw food.,YouTube video,13,1,0,0,0,1,1,misinformation
Secret cure: Big pharma hides vaccine injury data to keep profits high.,Facebook post,12,0,0,0,0,2,1,misinformation
BREAKING: Colloidal silver is a natural antibiotic better than prescribed antibiotics.,Telegram channel,11,0,0,0,0,0,1,misinformation
Medical evidence indicates that Quitting smoking significantly reduces cardiovascular disease risk within months.,NIH,13,0,0,0,1,0,0,credible
Research confirms that Environmental factors like air pollution contribute to respiratory disease.,WHO,12,0,0,0,1,0,0,credible
"According to doctors, A Mediterranean diet is associated with reduced risk of heart disease.",PubMed,14,0,0,0,1,0,0,credible
Secret cure: The COVID-19 vaccine contains microchips to track people.,Blog post,10,1,0,0,0,2,1,misinformation
Doctors don't want you to know that Sugar causes cancer directly and cutting it starves cancer cells.,Email chain,17,0,0,0,1,0,1,misinformation
Share before deleted: Wearing a face mask causes dangerous oxygen deprivation.,Email chain,11,0,0,0,0,0,1,misinformation
Shocking truth: Vaccines are filled with harmful toxins that damage your immune system permanently.,Twitter post,14,0,0,0,0,2,1,misinformation
Clinical trials show that Aspirin therapy may be recommended for certain high-risk individuals to prevent heart attacks.,CDC,17,0,0,0,2,0,0,credible
Research confirms that Flu vaccines are reformulated each year to match circulating strains.,CDC,13,0,0,0,1,0,0,credible
Health experts state that Type 1 diabetes is an autoimmune condition where the pancreas produces little insulin.,BMJ,17,1,0,0,1,0,0,credible
Research confirms that Metformin is commonly prescribed as a first-line medication for type 2 diabetes.,WebMD,15,1,0,0,1,0,0,credible
Scientists suppressed this: All artificial sweeteners cause cancer and brain damage.,TikTok video,11,0,0,0,0,1,1,misinformation
Studies show that Herd immunity requires a high percentage of the population to be vaccinated.,BMJ,15,0,0,0,0,0,0,credible
Research confirms that Sedentary behavior is linked to increased risk of obesity and metabolic syndrome.,Mayo Clinic,15,0,0,0,1,0,0,credible
Research confirms that Sleep deprivation negatively affects cognitive function and mood.,NIH,11,0,0,0,1,0,0,credible
Share before deleted: Muscle can turn to fat if you stop exercising regularly.,Anonymous forum,13,0,0,0,0,0,1,misinformation
Medical evidence indicates that Yellow fever vaccination is required for travel to certain countries.,PubMed,14,0,0,0,1,0,0,credible
Scientists suppressed this: The COVID-19 vaccine contains microchips to track people.,Facebook post,11,1,0,0,0,1,1,misinformation
Secret cure: Fluoride in water causes brain damage and is used to control populations.,WhatsApp message,14,0,0,0,0,2,1,misinformation
Shocking truth: People with mental illness are always dangerous and violent.,YouTube video,11,0,0,0,0,2,1,misinformation
Shocking truth: You can cure type 2 diabetes permanently by eating only raw food.,YouTube video,14,1,0,0,0,3,1,misinformation
Secret cure: You can lose 10 kg in one week by following this special detox plan.,Telegram channel,16,1,0,0,0,3,1,misinformation
Scientists suppressed this: The polio vaccine caused cancer in millions of people in secret.,WhatsApp message,14,0,0,0,0,2,1,misinformation
Scientists suppressed this: Detox teas remove toxins from your liver better than any medical treatment.,Email chain,15,0,0,0,0,2,1,misinformation
"Shocking truth: Vaccines cause autism in children, as proven by multiple studies.",WhatsApp message,12,0,0,0,1,2,1,misinformation
Clinical trials show that Folate is essential during pregnancy to prevent neural tube defects.,NHS,14,0,0,0,2,0,0,credible
Share before deleted: Antidepressants are addictive and make mental health permanently worse.,Instagram reel,12,0,0,0,0,0,1,misinformation
Secret cure: Baking soda cures cancer by making the body alkaline.,Anonymous forum,11,0,0,0,0,2,1,misinformation
Clinical trials show that Whole grains have a lower glycemic index than refined grains.,NIH,14,0,0,0,2,0,0,credible
Share before deleted: Drinking bleach in small amounts detoxifies your body.,TikTok video,11,0,0,0,0,1,1,misinformation
Medical evidence indicates that Regular foot care is important for people with diabetes to prevent complications.,WHO,16,0,0,0,1,0,0,credible
Studies show that HbA1c tests measure average blood sugar levels over the past 2-3 months.,WHO,15,1,0,0,0,0,0,credible
Scientists suppressed this: Big pharma hides vaccine injury data to keep profits high.,YouTube video,13,0,0,0,0,1,1,misinformation
Health experts state that Coronary artery disease is caused by plaque buildup in the arteries.,PubMed,15,0,0,0,1,0,0,credible
Studies show that Vaccines do not contain live viruses in the case of inactivated or mRNA vaccines.,WHO,17,0,0,0,0,0,0,credible
Shocking truth: Children who are not vaccinated are healthier than vaccinated children.,Facebook post,12,0,0,0,0,2,1,misinformation
Clinical trials show that Adults should aim for at least 150 minutes of moderate aerobic activity per week.,WebMD,18,1,0,0,2,0,0,credible
Secret cure: Malaria is spread by eating contaminated food rather than mosquito bites.,Twitter post,13,0,0,0,0,2,1,misinformation
Antibiotic resistance is a global health crisis caused by overuse of antibiotics.,WebMD,12,0,0,0,0,0,0,credible
Lifestyle factors like diet and exercise influence cancer risk.,WHO,9,0,0,0,0,0,0,credible
Research confirms that HPV vaccines reduce the risk of cervical cancer when given before exposure.,CDC,15,0,0,0,1,0,0,credible
Wearing a face mask causes dangerous oxygen deprivation.,Blog post,8,0,0,0,0,0,1,misinformation
Secret cure: Injecting bleach can provide the same immunity as a COVID-19 vaccine.,Instagram reel,13,1,0,0,0,2,1,misinformation
Clinical trials show that Environmental factors like air pollution contribute to respiratory disease.,BMJ,13,0,0,0,2,0,0,credible
"According to doctors, Coronary artery disease is caused by plaque buildup in the arteries.",WebMD,14,0,0,0,1,0,0,credible
Medical evidence indicates that Vaccines undergo multiple phases of clinical trials before receiving regulatory approval.,WHO,15,0,0,0,3,0,0,credible
BREAKING: Type 2 diabetes can always be completely reversed in 30 days with supplements.,Email chain,14,1,0,0,0,0,1,misinformation
Medical evidence indicates that The polio vaccine has nearly eradicated polio worldwide.,WHO,12,0,0,0,1,0,0,credible
Doctors don't want you to know that Vaccines cause more deaths than the diseases they prevent.,YouTube video,16,0,0,0,1,0,1,misinformation
Share before deleted: Bitter melon juice is more effective than metformin for controlling blood sugar.,TikTok video,15,0,0,0,0,0,1,misinformation
"According to doctors, A balanced diet includes fruits, vegetables, whole grains, lean proteins, and healthy fats.",NHS,16,0,0,0,1,0,0,credible
Medical evidence indicates that Whole grains have a lower glycemic index than refined grains.,CDC,14,0,0,0,1,0,0,credible
BREAKING: Garlic capsules cure COVID-19 infection within 48 hours.,TikTok video,9,1,0,0,0,1,1,misinformation
Share before deleted: All chronic diseases are caused by toxins from modern food that can be removed.,WhatsApp message,17,0,0,0,0,0,1,misinformation
"According to doctors, A low-glycemic diet can help manage blood sugar levels in diabetics.",WHO,14,0,0,0,1,0,0,credible
Medical evidence indicates that Genetic factors can increase predisposition to certain diseases.,BMJ,12,0,0,0,1,0,0,credible
Health experts state that Immunotherapy helps the immune system recognize and fight cancer cells.,Lancet,14,0,0,0,1,0,0,credible
Health experts state that Chemotherapy works by targeting rapidly dividing cancer cells.,WHO,12,0,0,0,1,0,0,credible
Clinical trials show that Eating a variety of colorful vegetables provides different essential nutrients.,Lancet,14,0,0,0,2,0,0,credible
Doctors don't want you to know that Muscle can turn to fat if you stop exercising regularly.,Twitter post,17,0,0,0,1,0,1,misinformation
BREAKING: Coconut oil is a heart-healthy food that clears clogged arteries.,Blog post,11,0,0,0,0,0,1,misinformation
Research confirms that Some cancers are linked to viral infections such as HPV and hepatitis B.,Lancet,16,0,0,0,1,0,0,credible
Shocking truth: Eating raw garlic every day cures hypertension completely without medication.,Anonymous forum,12,0,0,0,0,3,1,misinformation
BREAKING: Type 2 diabetes is only caused by consuming too much refined sugar.,Blog post,13,1,0,0,0,0,1,misinformation
"Research confirms that Regular screening can detect certain cancers at earlier, more treatable stages.",CDC,14,0,0,0,1,0,0,credible
"According to doctors, Aspirin therapy may be recommended for certain high-risk individuals to prevent heart attacks.",Lancet,16,0,0,0,1,0,0,credible
Magnet therapy can reverse heart disease effectively.,WhatsApp message,7,0,0,0,0,0,1,misinformation
Early intervention in mental health conditions leads to better outcomes.,BMJ,10,0,0,0,0,0,0,credible
Research confirms that Mental health conditions are not a sign of weakness and are common worldwide.,Lancet,16,0,0,0,1,0,0,credible
Share before deleted: Blood pressure medication causes kidney failure in all long-term users.,Telegram channel,13,0,0,0,0,0,1,misinformation
Secret cure: You can cure type 2 diabetes permanently by eating only raw food.,TikTok video,14,1,0,0,0,2,1,misinformation
Studies show that Yellow fever vaccination is required for travel to certain countries.,CDC,13,0,0,0,0,0,0,credible
Fluoride in water causes brain damage and is used to control populations.,Twitter post,12,0,0,0,0,0,1,misinformation
BREAKING: The COVID-19 vaccine contains microchips to track people.,Facebook post,9,1,0,0,0,0,1,misinformation
Scientists suppressed this: Exercising on an empty stomach burns three times more fat.,Facebook post,13,0,0,0,0,1,1,misinformation
Clinical trials show that Flu vaccines are reformulated each year to match circulating strains.,NHS,14,0,0,0,2,0,0,credible
BREAKING: Diabetics should avoid all carbohydrates entirely including fruit and vegetables.,Anonymous forum,11,0,0,0,0,0,1,misinformation
